,Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather,Time.Datetime,Proportions.Flights.On Time,Proportions.Flights.Cancelled or Diverted,Proportions.Flights.Security Delays,Statistics.# of Delays.Total,Time.Season
2370,PDX,"Portland, OR: Portland International",2010/03,3,March,2010,184,246,96,3,13,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,21,541,7,3758,4327,9258,13652,2849,72,26592,761,2010-03-01,0.8685001155535013,0.0064709960711809,0.0006933210076265,542,Spring
2371,PHL,"Philadelphia, PA: Philadelphia International",2010/03,3,March,2010,405,478,1215,6,89,"Pinnacle Airlines Inc.,American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",13,116,2192,9,5239,7556,23788,31268,54410,205,116419,6748,2010-03-01,0.6933562731604024,0.0165431445209105,0.0007940709370037,2193,Spring
2372,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2010/03,3,March,2010,604,769,431,9,38,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",14,124,1850,9,13759,15742,32618,37162,12728,239,85315,2568,2010-03-01,0.8740312539702706,0.0084487358658366,0.0005717189683648,1851,Spring
2373,SAN,"San Diego, CA: San Diego International",2010/03,3,March,2010,316,456,140,6,32,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",13,54,947,13,5601,6615,13969,22766,4227,247,42845,1636,2010-03-01,0.8467120181405896,0.0101284958427815,0.000907029478458,950,Spring
2374,SEA,"Seattle, WA: Seattle/Tacoma International",2010/03,3,March,2010,316,353,213,4,24,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,26,911,7,6727,7671,16964,19174,6450,137,44298,1573,2010-03-01,0.8769391213661843,0.0043019163081736,0.0005214444009907,910,Spring
2375,SFO,"San Francisco, CA: San Francisco International",2010/03,3,March,2010,377,694,1287,6,61,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",13,188,2423,13,8910,11534,25859,50051,79506,172,159709,4121,2010-03-01,0.7724986994971389,0.0174267383388243,0.0005202011444425,2425,Spring
2376,SLC,"Salt Lake City, UT: Salt Lake City International",2010/03,3,March,2010,344,470,307,3,23,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",11,90,1146,23,9335,10594,18626,25243,8768,68,54175,1470,2010-03-01,0.8811591466868038,0.0106664149518595,0.0002831791580139,1147,Spring
2377,TPA,"Tampa, FL: Tampa International",2010/03,3,March,2010,455,506,405,6,27,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.",10,42,1397,36,4999,6474,24254,29792,15405,126,71889,2312,2010-03-01,0.7721655854185975,0.0120481927710843,0.0009267840593141,1399,Spring
2378,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2010/04,4,April,2010,950,1295,1866,3,113,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",15,254,4227,79,29617,34177,73349,95114,98467,183,277192,10079,2010-04-01,0.8665769377066448,0.0097433946806331,8.777833045615472e-05,4227,Spring
2379,BOS,"Boston, MA: Logan International",2010/04,4,April,2010,388,390,500,3,32,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",15,58,1312,7,7986,9363,20146,21281,18527,159,61887,1774,2010-04-01,0.8529317526433835,0.0069422193741322,0.0003204101249599,1313,Spring
